index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
341,668684,20170817,90.0,g,DES survey hex 81-532 tiling 6,0.947
342,680792,20170923,90.0,g,DES survey hex -5-633 tiling 8,0.949
343,690897,20171025,90.0,g,DES survey hex 318-542 tiling 8,0.949
344,681601,20170925,90.0,g,DES survey hex 83-511 tiling 8,0.949
345,680839,20170923,90.0,g,DES survey hex 164-24 tiling 9,0.949
346,668668,20170817,90.0,g,DES survey hex 161-521 tiling 6,0.95
347,670462,20170821,90.0,g,DES survey hex 291+37 tiling 8,0.951
348,668043,20170816,90.0,g,DES survey hex -165-420 tiling 8,0.952
349,689808,20171021,90.0,g,DES survey hex 224-450 tiling 8,0.953
350,680473,20170922,90.0,g,DES survey hex -358-491 tiling 8,0.953
351,694210,20171108,90.0,g,DES survey hex -48-542 tiling 9,0.954
352,677254,20170913,90.0,g,DES survey hex -291-532 tiling 8,0.955
353,681640,20170925,90.0,g,DES survey hex 167-227 tiling 8,0.956
354,689011,20171019,90.0,g,DES survey hex 114-298 tiling 8,0.956
355,680725,20170923,90.0,g,DES survey hex -378-592 tiling 8,0.957
356,672760,20170827,90.0,g,DES survey hex 164-65 tiling 8,0.958
357,689816,20171021,90.0,g,DES survey hex 275-471 tiling 8,0.959
358,678912,20170917,90.0,g,DES survey hex 148-14 tiling 9,0.959
359,668046,20170816,90.0,g,DES survey hex -144-410 tiling 8,0.96
360,680476,20170922,90.0,g,DES survey hex -332-491 tiling 8,0.96
361,689014,20171019,90.0,g,DES survey hex 133-308 tiling 8,0.961
362,687808,20171016,90.0,g,DES survey hex -418-562 tiling 9,0.961
363,694233,20171108,90.0,g,DES survey hex -66-572 tiling 9,0.961
364,672768,20170827,90.0,g,DES survey hex 212-55 tiling 8,0.963
365,692076,20171028,90.0,g,DES survey hex 419-4 tiling 8,0.963
366,685386,20171009,90.0,g,DES survey hex -403-511 tiling 8,0.963
367,688940,20171019,90.0,g,DES survey hex 159-501 tiling 7,0.964
368,680507,20170922,90.0,g,DES survey hex -231-450 tiling 9,0.964
369,681219,20170924,90.0,g,DES survey hex 152-318 tiling 7,0.965
370,694212,20171108,90.0,g,DES survey hex -33-552 tiling 9,0.966
371,668613,20170817,90.0,g,DES survey hex -217-623 tiling 7,0.966
372,682054,20170926,90.0,g,DES survey hex 100-4 tiling 8,0.967
373,682057,20170926,90.0,g,DES survey hex 84+6 tiling 8,0.969
374,680794,20170923,90.0,g,DES survey hex 27-643 tiling 8,0.971
375,689810,20171021,90.0,g,DES survey hex 249-461 tiling 8,0.971
376,686426,20171012,90.0,g,DES survey hex -347-461 tiling 8,0.971
377,689802,20171021,90.0,g,DES survey hex 245-440 tiling 8,0.971
378,678851,20170917,90.0,g,DES survey hex -184-572 tiling 8,0.973
379,670459,20170821,90.0,g,DES survey hex 276+26 tiling 8,0.974
380,689656,20171021,90.0,g,DES survey hex -17-420 tiling 8,0.975
381,685371,20171009,90.0,g,DES survey hex -379-4 tiling 7,0.976
382,682091,20170926,90.0,g,DES survey hex 68-45 tiling 9,0.978
383,680812,20170923,90.0,g,DES survey hex 73-592 tiling 8,0.979
384,689031,20171019,90.0,g,DES survey hex 261-298 tiling 8,0.98
385,678758,20170917,90.0,g,DES survey hex -569-613 tiling 7,0.98
386,689830,20171021,90.0,g,DES survey hex 376-521 tiling 8,0.981
388,681220,20170924,90.0,g,DES survey hex 133-329 tiling 7,0.984
389,668644,20170817,90.0,g,DES survey hex -12+6 tiling 7,0.984
390,688945,20171019,90.0,g,DES survey hex 43-450 tiling 8,0.986
391,668646,20170817,90.0,g,DES survey hex 4-4 tiling 7,0.987
392,681218,20170924,90.0,g,DES survey hex 171-329 tiling 7,0.987
393,680776,20170923,90.0,g,DES survey hex -8-562 tiling 8,0.988
394,681589,20170925,90.0,g,DES survey hex 28-532 tiling 8,0.989
395,686419,20171012,90.0,g,DES survey hex -315-521 tiling 8,0.99
396,687879,20171016,90.0,g,DES survey hex 136-592 tiling 8,0.99
397,670478,20170821,90.0,g,DES survey hex 228+37 tiling 8,0.99
398,668677,20170817,90.0,g,DES survey hex 34-623 tiling 6,0.992
399,678813,20170917,90.0,g,DES survey hex -335-653 tiling 7,0.995
400,688959,20171019,90.0,g,DES survey hex 16-349 tiling 8,0.999
401,691253,20171026,90.0,g,DES survey hex 158-481 tiling 8,0.999
402,681645,20170925,90.0,g,DES survey hex 184-217 tiling 8,0.999
403,689040,20171019,90.0,g,DES survey hex 303-308 tiling 8,0.999
404,689002,20171019,90.0,g,DES survey hex 49-562 tiling 9,1.002
405,670450,20170821,90.0,g,DES survey hex 228+16 tiling 8,1.002
406,691707,20171027,90.0,g,DES survey hex 656-572 tiling 7,1.002
407,670387,20170821,90.0,g,DES survey hex -149-623 tiling 8,1.003
408,680769,20170923,90.0,g,DES survey hex -59-592 tiling 8,1.003
409,680722,20170923,90.0,g,DES survey hex -406-603 tiling 8,1.004
410,672765,20170827,90.0,g,DES survey hex 196-65 tiling 8,1.005
411,689276,20171020,90.0,g,DES survey hex -79-420 tiling 9,1.006
412,689819,20171021,90.0,g,DES survey hex 280-491 tiling 8,1.007
413,670453,20170821,90.0,g,DES survey hex 244+26 tiling 8,1.008
414,678770,20170917,90.0,g,DES survey hex -560-552 tiling 8,1.008
415,689821,20171021,90.0,g,DES survey hex 307-491 tiling 8,1.009
416,680777,20170923,90.0,g,DES survey hex -16-582 tiling 8,1.01
417,680524,20170922,90.0,g,DES survey hex -36-410 tiling 8,1.011
418,672781,20170827,90.0,g,DES survey hex 164-4 tiling 8,1.012
419,689056,20171019,90.0,g,DES survey hex 395-339 tiling 8,1.013
420,677230,20170913,90.0,g,DES survey hex -529-481 tiling 8,1.014
421,678761,20170917,90.0,g,DES survey hex -594-582 tiling 8,1.017
422,689814,20171021,90.0,g,DES survey hex 292-461 tiling 8,1.019
423,670393,20170821,90.0,g,DES survey hex -80-623 tiling 8,1.019
424,677252,20170913,90.0,g,DES survey hex -321-542 tiling 8,1.021
425,681719,20170925,90.0,g,DES survey hex 205-288 tiling 7,1.022
426,678848,20170917,90.0,g,DES survey hex -214-582 tiling 8,1.023
427,668656,20170817,90.0,g,DES survey hex 28-532 tiling 6,1.024
428,694195,20171108,90.0,g,DES survey hex -61-501 tiling 9,1.028
429,672805,20170827,90.0,g,DES survey hex 228-4 tiling 9,1.028
